"nameaffiliation","year","num_papers"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2003","6"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1997","2"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2008","12"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2005","7"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2018","10"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2017","13"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2016","24"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2006","10"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2014","26"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2012","22"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2010","16"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2015","37"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2011","22"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2007","12"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2013","28"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2009","18"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","1998","1"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2004","7"
"Institut de Biologia Evolutiva (IBE) - CSIC - UPF","2002","4"
"Institut de Diagnosi Ambiental i Estudis de l'Aigua - CSIC","2017","2"
"Institut de Diagnosi Ambiental i Estudis de l'Aigua - CSIC","2018","5"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2018","2"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2012","1"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","1999","1"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2011","2"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2013","2"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2014","3"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2007","5"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2010","7"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2002","2"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2003","1"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2006","2"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2005","1"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2016","6"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2015","4"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2009","12"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2004","1"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2001","1"
"Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) - IGTP","2008","7"
"Institut de Química Avançada de Cataunya - CSIC","2017","2"
"Institut de Química Avançada de Cataunya - CSIC","2016","2"
"Institut de Química Avançada de Cataunya - CSIC","2014","1"
"Institut de Química Avançada de Cataunya - CSIC","2015","1"
"Institut de Química Avançada de Cataunya - CSIC","2018","2"
"Institut de Química Avançada de Cataunya - CSIC","2013","1"
"Institut de Química Avançada de Cataunya - CSIC","2007","1"
"Institut de Química Avançada de Cataunya - CSIC","2005","1"
"Institut de Química Avançada de Cataunya - CSIC","2010","2"
"Institut de Química Avançada de Cataunya - CSIC","2011","2"
"Institut de Química Avançada de Cataunya - CSIC","2009","1"
"Institut de Química Avançada de Cataunya - CSIC","2012","2"
"Institut de Química Avançada de Cataunya - CSIC","2008","4"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2018","11"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2016","9"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2017","17"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2015","24"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2014","32"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2012","25"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2013","36"
"Institut de Recerca Biomèdica de Barcelona (IRB)","1999","2"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2011","26"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2010","31"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2008","26"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2000","4"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2009","22"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2004","18"
"Institut de Recerca Biomèdica de Barcelona (IRB)","1997","1"
